0object	objected,objecting,objects
1cean	oceans
1ff	offed,offing,offs
3er	offered,offering,offers
3ice	offices
6r	officered,officering,officers
1il	oiled,oiling,oils
1ld	older,oldest,olds
1ne	ones,@q1
1pen	opened,opening,opens
3ration	operations
1range	oranges
2der	ordered,ordering,orders
1ther	others
1ut	outed,outing,outs,@qd
1ver	overs
4coat	overcoated,overcoats
1wn	owned,owning,owns
3er	owners
