0i	@6cc,@6hy,@6q7,@6qb
1ce	iced,ices,@522,@527
3-cream	ice-creams
3berg	icebergs
3land	icelands
2hthyosaur	ichthyosaurs
2icle	icicles
3ng	@51t,@51v,icings
2on	icons
4oclast	@525,iconoclasts
2y	icier
1dea	@52c
4l	@52a,@52b,ideals
5ism	idealisms
4s	@528,s
3ntification	identifications
7y	@52e,@52f,identified,identifies,identifying
6ties	@52i,s
7y	@52h
3ology	ideologies
2iocy	idiocies
4m	@52n,idioms
4syncrasy	idiosyncrasies
4t	@52q,idiots
2le	idled,@52s,idles,idling
2ol	@52w,idols
4ize	idolized,idolizes,idolizing
2yll	idylls
5ic	@52x
1gnite	ignited,ignites,igniting
3ominy	@533
4rant	ignorants
5e	ignored,ignores,ignoring
1ll	@53f,ills
3egal	illegals
5itimate	illegitimates
3icit	illicits
4terate	illiterates
3ness	illnesses
3uminate	illuminated,illuminates,illuminating,@53i
9i	s
aon	illuminations
4sion	illusions
5trate	illustrated,illustrates,illustrating,@53n
9ion	illustrations
1mage	imaged,@53q,images,imaging
5ry	imageries
4ination	imaginations
6e	@53r,@53s,@53t,imagined,imagines,imagining,@aut
2balance	imbalanced,imbalances,imbalancing
3ecile	imbeciles
3ibe	imbibed,imbibes,imbibing
3ue	imbued,imbues,imbuing
2itate	imitated,imitates,imitating,@541,@542
6ion	imitations
2mediate	@546
4nse	@549
6ity	immensities
4rse	immersed,immerses,immersing
3igrant	immigrants
7te	immigrated,immigrates,immigrating,@54d
4nent	imminents
3obilize	immobilized,immobilizes,immobilizing
4late	immolated,immolates,immolating
4rtal	immortals
3une	@54m,@54n
5ity	immunities
6ze	immunized,immunizes,immunizing
4re	immured,immures,immuring
2p	imps
3act	impacted,impacting,impacts
4ir	impaired,impairing,impairs
4le	impaled,impales,impaling
4rt	imparted,imparting,imparts
6ial	@54w
3each	impeached,impeaches,impeaching,@auv
4de	impeded,impedes,impeding
5iment	impediments
4l	impelled,impelling,impels
4nd	impended,@559,impends
6ing	@51t,@558
4rative	imperatives
5il	imperiled,imperilled,imperilling,imperils
5sonate	impersonated,impersonates,impersonating,@55l
aion	impersonations
5tinence	impertinences
at	@55m
5vious	@7k1
3inge	impinged,impinges,impinging
3lant	implanted,implanting,implants
4ement	implemented,implementing,implements
4icate	implicated,implicates,implicating,@55y
8ion	implications
4ode	imploded,implodes,imploding
5re	implored,implores,imploring
4y	implied,implies,implying
3onderable	imponderables
4rt	imported,importing,@568
6ant	@auw
6s	@565,s3
6une	importuned,importunes,importuning
4se	imposed,imposes,@56b,@8ba
5ing	@51t,@56a
5tor	impostors
6ure	impostures
4verish	impoverished,impoverishes,impoverishing
3racticality	impracticalities
4ecate	imprecated,imprecates,imprecating,@56j
8ion	imprecations
5sario	impresarios
6s	@56o,impresses,impressing,@56r
7ed	dp
7ion	@56q,impressions
4int	imprinted,imprinting,imprints
5son	imprisoned,imprisoning,@56u,imprisons
8ment	imprisonments
4obable	improbables
5mptu	impromptus
5priety	improprieties
5ve	improved,@570,improves,improving
7ment	improvements
6ise	@573,@574,improvises,improvising
9d	dp,@572
9r	improvisers
3ugn	impugned,impugning,impugns
4lse	impulses,@57a
4rity	impurities
4tation	imputations
5e	@57e,imputed,imputes,imputing
1n	@5f0,@5f1,@5mq
2ability	inabilities
3ctivate	inactivated,inactivates,inactivating
3dequate	inadequates
3nimate	inanimates
3ugurate	inaugurated,inaugurates,inaugurating
2candescent	incandescents
5tation	incantations
4pacitate	incapacitated,incapacitates,incapacitating
4rcerate	incarcerated,incarcerates,incarcerating
5nate	incarnated,incarnates,incarnating
3endiary	@m5,incendiaries
5se	incensed,incenses,incensing
5tive	incentives
4ption	inceptions
3h	inched,inches,inching
3idence	incidences
7t	incidents
4nerate	incinerated,incinerates,incinerating
4se	incised,incises,incising,@58k,@58l,@58m
5ion	incisions
5or	incisors
4te	incited,incites,inciting
3lination	inclinations
6e	@58p,@58r,inclines,inclining
7d	dp
4ude	included,includes,including
3ome	incomes
5ing	incomings
5patible	incompatibles
6etent	incompetents
6rehensible	@1yp
4nclusive	inconclusives
5gruity	incongruities
8ous	@223,@224,@596
4rporate	incorporated,incorporates,incorporating,@59d
aion	incorporations
5rect	incorrects
6uptible	incorruptibles
3rease	increased,increases,increasing,@59k
5ment	incremented,incrementing,increments
4iminate	incriminated,incriminates,incriminating
4ustation	incrustations
3ubate	incubated,incubates,incubating,@59r,@59s
7ion	incubations
7or	incubators
4lcate	inculcated,inculcates,inculcating
5pate	inculpated,inculpates,inculpating
4mbent	incumbents
4r	incurred,incurring,incurs
2definite	@5a5
4mnify	indemnified,indemnifies,indemnifying
7ty	indemnities
4nt	@5aa,indenting,indents
6ed	@5a9,pd
6ure	indentured,indentures,indenturing
4pendent	independents
4x	indexed,indexes,indexing,@5am
3ian	indians
4cate	indicated,indicates,indicating,@5aj,@5ak,@5al
7ion	indications
7or	indicators
5es	@5af,s
5t	indicted,indicting,@5ao,indicts
6ment	indictments
