0keep	keeping,keeps,kept
2y	keyed,keying,keys
3board	keyboarded,keyboarding,keyboards
1ick	kicked,kicking,kicks
2d	kidded,kidding,kids
2ll	killed,killing,kills
3o	kilos
4gram	kilograms
4metre	kilometres
2nd	kinder,kindest,kinds
3g	kings
2ss	kissed,kisses,kissing
2tchen	kitchens
3e	kited,kites,kiting
1nee	kneeing,knees
2ife	knifed,knifes,knifing,knives
2ock	knocked,knocking,knocks
3w	knew,knowing,known,knows
4ledge	knowledges
