0zealots	bil
5us	bik
7ly	bik,bin
2bras	bio
2phyrs	biq
2roed	bir
5s	bir
4ing	bir
4s	bir
2sted	bis
4ing	bis
4s	bis
4y	bis
1igzagged	biu
7ing	biu
6s	biu
2nced	biv
4ing	biv
4s	biv
2onism	c5b,w7m
6t	c5b
2pped	biw
5r	biw
6ed	bix
6s	bix
4ing	biw
3s	biw
2thers	est
1oned	biy
4s	biy
3ing	biy
2ological	bj0
3med	bj1
4ing	bj1
4s	bj1
3s	biz
